School District,School,County,Type of Organization,Number of Outlets,Any Buildings with Lead-Free Plumbing?,Previously Sampled Outlets,Outlets Waiver Requested,Waivers Granted,Outlets Sampled After Regulation,Sampling Complete,Sampling Completion Date,"Number of Outlets, Result ≤ 15 ppb","Number of Outlets, Result > 15 ppb",Out of Service,All Results Received	,Date All Results Received,School Website	,BEDS Code,School Street ,School City,School State,School Zip Code,Date Sampling Updated,Date Results Updated,County Location,Location
NYC DOE,K258,Kings,Public School,90,No,0,0,0,90,Yes,12/10/2016,90,0,No,Yes,09/25/2018,http://schools.nyc.gov/schools/K140,"K140,K517",141 MACON STREET,Brooklyn,NY,11216,04/03/2019,04/03/2019,"(40.68192, -73.9456)","141 MACON STREET
Brooklyn, NY 11216
(40.68160632200005, -73.94562802999997)"
NYC DOE,K094,Kings,Public School,67,No,0,0,0,67,Yes,12/23/2016,67,0,No,Yes,01/28/2018,http://schools.nyc.gov/schools/K094,K094,5010 6 AVENUE,Brooklyn,NY,11220,04/03/2019,04/03/2019,"(40.64373, -74.008795)","5010 6 AVENUE
Brooklyn, NY 11220
(40.643515267000055, -74.00843327199993)"
NYC DOE,K783,Kings,Public School,65,No,0,0,0,65,Yes,04/20/2017,65,0,No,Yes,04/26/2017,http://schools.nyc.gov/schools/K593,K593,239 PATCHEN AVENUE,Brooklyn,NY,11233,04/03/2019,04/03/2019,"(40.683446, -73.925851)","239 PATCHEN AVENUE
Brooklyn, NY 11233
(40.68342277600004, -73.92614603999994)"
NYC DOE,X001,Bronx,Public School,149,No,0,0,0,149,Yes,01/07/2017,149,0,No,Yes,04/24/2018,http://schools.nyc.gov/schools/X001,X001,335 EAST 152 STREET,Bronx,NY,10451,04/03/2019,04/03/2019,"(40.819331, -73.919634)","335 EAST 152 STREET
Bronx, NY 10451
(40.81892600100008, -73.91934144099997)"
NYC DOE,X435,Bronx,Public School,171,No,0,0,0,171,Yes,02/04/2017,171,0,No,Yes,02/17/2017,http://schools.nyc.gov/schools/X243,"X243,X374,X434,X437,X438,X439",500 EAST FORDHAM ROAD,Bronx,NY,10458,04/03/2019,04/03/2019,"(40.859466, -73.888625)","500 EAST FORDHAM ROAD
Bronx, NY 10458
(40.85997138700003, -73.88817218199995)"
NYC DOE,K853,Kings,Public School,21,No,0,0,0,21,Yes,12/09/2016,21,0,No,Yes,12/23/2016,http://schools.nyc.gov/schools/K004,K004,234 HERKIMER STREET,Brooklyn,NY,11216,04/03/2019,04/03/2019,"(40.679032, -73.94491)","234 HERKIMER STREET
Brooklyn, NY 11216
(40.67935053600007, -73.94488066899999)"
NYC DOE,K086,Kings,Public School,17,No,0,0,0,17,Yes,12/03/2016,17,0,No,Yes,12/20/2016,http://schools.nyc.gov/schools/K086,K086,220 IRVING AVENUE,Brooklyn,NY,11237,04/03/2019,04/03/2019,"(40.700595, -73.917804)","220 IRVING AVENUE
Brooklyn, NY 11237
(40.70081765000003, -73.91759545099995)"
NYC DOE,K380,Kings,Public School,151,No,0,0,0,151,Yes,12/07/2016,151,0,No,Yes,09/25/2018,http://schools.nyc.gov/schools/K380,"K380,K141",370 MARCY AVENUE,Brooklyn,NY,11206,04/03/2019,04/03/2019,"(40.70179, -73.953702)","370 MARCY AVENUE
Brooklyn, NY 11206
(40.70234035800007, -73.95293200699996)"
NYC DOE,M153,New York,Public School,173,No,0,0,0,173,Yes,01/06/2017,173,0,No,Yes,09/04/2018,http://schools.nyc.gov/schools/M153,"M153,M368",1750 AMSTERDAM AVENUE,Manhattan,NY,10031,04/03/2019,04/03/2019,"(40.826514, -73.947599)","1750 AMSTERDAM AVENUE
Manhattan, NY 10031
(40.82623537300003, -73.94691583099996)"
NYC DOE,X007,Bronx,Public School,67,No,0,0,0,67,Yes,01/12/2017,67,0,No,Yes,01/09/2018,http://schools.nyc.gov/schools/X007,X007,3201 KINGSBRIDGE AVENUE,Bronx,NY,10463,04/03/2019,04/03/2019,"(40.881562, -73.905697)","3201 KINGSBRIDGE AVENUE
Bronx, NY 10463
(40.88121069500005, -73.90526085099998)"
NORTHPORT-EAST NORTHPORT UNION FREE SCHOOL DISTRICT,NORTHPORT S H S,Suffolk,Public School,534,No,98,0,0,400,Yes,11/09/2016,534,0,Yes,Yes,11/23/2016,http://northport.k12.ny.us,580404030009,LAUREL HILL RD,NORTHPORT,NY,11768,10/19/2018,10/19/2018,"(40.820237, -73.119032)","LAUREL HILL RD
NORTHPORT, NY 11768
(40.88002713100008, -73.34568373799993)"
NYC DOE,K279,Kings,Public School,130,No,0,0,0,130,Yes,01/07/2017,130,0,No,Yes,05/24/2018,http://schools.nyc.gov/schools/K279,"K279,K724",1070 EAST 104 STREET,Brooklyn,NY,11236,04/03/2019,04/03/2019,"(40.644134, -73.892797)","1070 EAST 104 STREET
Brooklyn, NY 11236
(40.64419859700007, -73.89232819699998)"
NYC DOE,X098,Bronx,Public School,95,No,0,0,0,95,Yes,01/20/2017,95,0,No,Yes,02/02/2017,http://schools.nyc.gov/schools/X098,"X098,X251,X511",1619 BOSTON ROAD,Bronx,NY,10460,04/03/2019,04/03/2019,"(40.836245, -73.890591)","1619 BOSTON ROAD
Bronx, NY 10460
(40.83591603000008, -73.89052524199997)"
NYC DOE,K521,Kings,Public School,119,No,0,0,0,119,Yes,12/10/2016,119,0,No,Yes,01/09/2018,http://schools.nyc.gov/schools/K521,K160,1057 52ND STREET,Brooklyn,NY,11219,04/03/2019,04/03/2019,"(40.636501, -73.999057)","1057 52ND STREET
Brooklyn, NY 11219
(40.63652966500007, -73.99903504299994)"
NYC DOE,X093,Bronx,Public School,39,No,0,0,0,39,Yes,01/07/2017,39,0,No,Yes,07/02/2018,http://schools.nyc.gov/schools/X093,"X093,X362",1535 STORY AVENUE,Bronx,NY,10473,04/03/2019,04/03/2019,"(40.822522, -73.877274)","1535 STORY AVENUE
Bronx, NY 10473
(40.821773300000075, -73.87696231599995)"
NYC DOE,K505,Kings,Public School,125,No,0,0,0,125,Yes,01/07/2017,125,0,No,Yes,12/18/2018,http://schools.nyc.gov/schools/K505,K505,5800 20 AVENUE,Brooklyn,NY,11204,04/03/2019,04/03/2019,"(40.621299, -73.982583)","5800 20 AVENUE
Brooklyn, NY 11204
(40.62067580300004, -73.98157018999996)"
NYC DOE,M445,New York,Public School,149,No,0,0,0,149,Yes,01/25/2017,149,0,No,Yes,02/08/2017,http://schools.nyc.gov/schools/M294,"M294,M305,M308,M543,M545",350 GRAND STREET,Manhattan,NY,10002,04/03/2019,04/03/2019,"(40.717329, -73.989329)","350 GRAND STREET
Manhattan, NY 10002
(40.71686873500005, -73.98955088099996)"
NYC DOE,X085,Bronx,Public School,78,No,0,0,0,78,Yes,01/12/2017,78,0,No,Yes,09/18/2018,http://schools.nyc.gov/schools/X085,X085,2400 MARION AVENUE,Bronx,NY,10458,04/03/2019,04/03/2019,"(40.858689, -73.894682)","2400 MARION AVENUE
Bronx, NY 10458
(40.858808847000034, -73.89515728399994)"
NYC DOE,M661,New York,Public School,34,No,0,0,0,34,Yes,01/28/2017,34,0,No,Yes,02/06/2017,http://schools.nyc.gov/schools/M575,M575,240 2 AVENUE,Manhattan,NY,10003,04/03/2019,04/03/2019,"(40.732699, -73.984333)","240 2 AVENUE
Manhattan, NY 10003
(40.73277368500004, -73.98458417599994)"
NYC DOE,M167,New York,Public School,162,No,0,0,0,162,Yes,01/10/2017,162,0,No,Yes,01/25/2017,http://schools.nyc.gov/schools/M167,M167,220 EAST 76 STREET,Manhattan,NY,10021,04/03/2019,04/03/2019,"(40.771541, -73.957827)","220 EAST 76 STREET
Manhattan, NY 10021
(40.77197081200006, -73.95797304999996)"
NYC DOE,K819,Kings,Public School,28,No,0,0,0,28,Yes,12/01/2016,28,0,No,Yes,06/04/2018,http://schools.nyc.gov/about-us/reports/water-safety,No School,2057 LINDEN BOULEVARD,Brooklyn,NY,11207,04/03/2019,04/03/2019,"(40.661104, -73.886664)","2057 LINDEN BOULEVARD
Brooklyn, NY 11207
(40.66063720400007, -73.88634304299995)"
NYC DOE,X082,Bronx,Public School,61,No,0,0,0,61,Yes,01/20/2017,61,0,No,Yes,01/31/2017,http://schools.nyc.gov/schools/X232,"X232,X303,X365",1700 MACOMBS ROAD,Bronx,NY,10453,04/03/2019,04/03/2019,"(40.849416, -73.915217)","1700 MACOMBS ROAD
Bronx, NY 10453
(40.849065659000075, -73.91607163499998)"
NYC DOE,K937,Kings,Public School,4,No,0,0,0,4,Yes,12/13/2016,4,0,No,Yes,12/23/2016,http://schools.nyc.gov/schools/K097,K097,1855 STILLWELL AVENUE,Brooklyn,NY,11223,04/03/2019,04/03/2019,"(40.601191, -73.98557)","1855 STILLWELL AVENUE
Brooklyn, NY 11223
(40.601325227000075, -73.98607407999998)"
NYC DOE,M118,New York,Public School,119,No,0,0,0,119,Yes,01/14/2017,119,0,No,Yes,04/06/2018,http://schools.nyc.gov/schools/M256,"M256,M258,M333",154 WEST 93 STREET,Manhattan,NY,10025,04/03/2019,04/03/2019,"(40.791395, -73.971011)","154 WEST 93 STREET
Manhattan, NY 10025
(40.79168479300006, -73.97078260099994)"
NYC DOE,X102,Bronx,Public School,216,No,0,0,0,216,Yes,01/18/2017,216,0,No,Yes,10/23/2018,http://schools.nyc.gov/schools/X531,"X531,X536,X691",1827 ARCHER STREET,Bronx,NY,10460,04/03/2019,04/03/2019,"(40.838151, -73.866038)","1827 ARCHER STREET
Bronx, NY 10460
(40.83764444900004, -73.86608209099995)"
NYC DOE,K422,Kings,Public School,157,No,0,0,0,157,Yes,12/07/2016,157,0,No,Yes,07/20/2018,http://schools.nyc.gov/schools/K422,"K404,K422,K053",1065 ELTON STREET,Brooklyn,NY,11208,04/03/2019,04/03/2019,"(40.657266, -73.874064)","1065 ELTON STREET
Brooklyn, NY 11208
(40.65715934100007, -73.87450525999998)"
NYC DOE,X056,Bronx,Public School,123,No,0,0,0,123,Yes,01/18/2017,123,0,No,Yes,02/09/2017,http://schools.nyc.gov/schools/X056,X056,341 EAST 207 STREET,Bronx,NY,10467,04/03/2019,04/03/2019,"(40.875481, -73.874912)","341 EAST 207 STREET
Bronx, NY 10467
(40.87515092800004, -73.87510444499998)"
NYC DOE,X146,Bronx,Public School,123,No,0,0,0,123,Yes,01/07/2017,123,0,No,Yes,01/12/2017,http://schools.nyc.gov/schools/X146,"X146,X186,X380",968 CAULDWELL AVENUE,Bronx,NY,10456,04/03/2019,04/03/2019,"(40.824717, -73.905734)","968 CAULDWELL AVENUE
Bronx, NY 10456
(40.825160571000026, -73.90604932699995)"
NYC DOE,K259,Kings,Public School,104,No,0,0,0,104,Yes,12/24/2016,104,0,No,Yes,06/12/2018,http://schools.nyc.gov/schools/K259,K259,7305 FT HAMILTON PARKWAY,Brooklyn,NY,11228,04/03/2019,04/03/2019,"(40.626089, -74.014633)","7305 FT HAMILTON PARKWAY
Brooklyn, NY 11228
(40.62664140000004, -74.01517581499996)"
NYC DOE,K241,Kings,Public School,59,No,0,0,0,59,Yes,12/14/2016,59,0,No,Yes,12/20/2018,http://schools.nyc.gov/schools/K241,K241,976 PRESIDENT STREET,Brooklyn,NY,11225,04/03/2019,04/03/2019,"(40.668913, -73.960924)","976 PRESIDENT STREET
Brooklyn, NY 11225
(40.669264835000035, -73.96045495899995)"
NYC DOE,M149,New York,Public School,167,No,0,0,0,167,Yes,01/04/2017,167,0,No,Yes,08/03/2018,http://schools.nyc.gov/schools/M149,"M149,M811,M351",34 WEST 118 STREET,Manhattan,NY,10026,04/03/2019,04/03/2019,"(40.802649, -73.948088)","34 WEST 118 STREET
Manhattan, NY 10026
(40.803085845000055, -73.94818915899998)"
NYC DOE,K210,Kings,Public School,80,No,0,0,0,80,Yes,12/13/2016,80,0,No,Yes,11/28/2018,http://schools.nyc.gov/schools/K394,"K394,K742",188 ROCHESTER AVENUE,Brooklyn,NY,11213,04/03/2019,04/03/2019,"(40.67271, -73.928917)","188 ROCHESTER AVENUE
Brooklyn, NY 11213
(40.672594823000054, -73.92803486799994)"
NYC DOE,M145,New York,Public School,133,No,0,0,0,133,Yes,01/10/2017,133,0,No,Yes,05/24/2018,http://schools.nyc.gov/schools/M145,"M145,M421",150 WEST 105 STREET,Manhattan,NY,10025,04/03/2019,04/03/2019,"(40.799098, -73.965611)","150 WEST 105 STREET
Manhattan, NY 10025
(40.79927981900005, -73.96513060099994)"
NYC DOE,R031,Richmond,Public School,119,No,0,0,0,119,Yes,12/21/2016,119,0,No,Yes,01/28/2018,http://schools.nyc.gov/schools/R031,R031,55 LAYTON AVENUE,Staten Island,NY,10301,04/03/2019,04/03/2019,"(40.64209, -74.08542)","55 LAYTON AVENUE
Staten Island, NY 10301
(40.64157629300007, -74.08534591099993)"
NYC DOE,M166,New York,Public School,137,No,0,0,0,137,Yes,01/14/2017,137,0,No,Yes,08/18/2017,http://schools.nyc.gov/schools/M166,M166,132 WEST 89 STREET,Manhattan,NY,10024,04/03/2019,04/03/2019,"(40.788925, -73.972557)","132 WEST 89 STREET
Manhattan, NY 10024
(40.78909084500003, -73.97242060099995)"
NYC DOE,X052,Bronx,Public School,125,No,0,0,0,125,Yes,02/14/2017,125,0,No,Yes,05/16/2018,http://schools.nyc.gov/schools/X302,"X302,X487",681 KELLY STREET,Bronx,NY,10455,04/03/2019,04/03/2019,"(40.816078, -73.901599)","681 KELLY STREET
Bronx, NY 10455
(40.81557092800006, -73.90170955499997)"
NYC DOE,X886,Bronx,Public School,29,No,0,0,0,29,Yes,01/14/2017,29,0,No,Yes,01/30/2017,http://schools.nyc.gov/schools/X307,X307,124 EAMES PLACE,Bronx,NY,10468,04/03/2019,04/03/2019,"(40.869142, -73.901821)","124 EAMES PLACE
Bronx, NY 10468
(40.86927878000006, -73.90157602199997)"
NYC DOE,X935,Bronx,Public School,16,No,0,0,0,16,Yes,01/14/2017,16,0,No,Yes,01/30/2017,http://schools.nyc.gov/schools/X105,X105,725 BRADY AVENUE,Bronx,NY,10462,04/03/2019,04/03/2019,"(40.853075, -73.866264)","725 BRADY AVENUE
Bronx, NY 10462
(40.85242050000005, -73.86645116499994)"
NYC DOE,M208,New York,Public School,108,No,0,0,0,108,Yes,01/21/2017,108,0,No,Yes,04/17/2018,http://schools.nyc.gov/schools/M208,"M226,M329",21 WEST 111 STREET,Manhattan,NY,10026,04/03/2019,04/03/2019,"(40.798461, -73.950146)","21 WEST 111 STREET
Manhattan, NY 10026
(40.79818721400005, -73.95040744999994)"
NYC DOE,K067,Kings,Public School,56,No,0,0,0,56,Yes,01/28/2017,56,0,No,Yes,07/20/2017,http://schools.nyc.gov/schools/K067,"K067,K369,K536",51 SAINT EDWARDS STREET,Brooklyn,NY,11205,04/03/2019,04/03/2019,"(40.695339, -73.977674)","51 SAINT EDWARDS STREET
Brooklyn, NY 11205
(40.69456989500003, -73.97801268699999)"
NYC DOE,X023,Bronx,Public School,126,No,0,0,0,126,Yes,01/12/2017,126,0,No,Yes,05/10/2018,http://schools.nyc.gov/schools/X023,X023,2151 WASHINGTON AVENUE,Bronx,NY,10457,04/03/2019,04/03/2019,"(40.853294, -73.894951)","2151 WASHINGTON AVENUE
Bronx, NY 10457
(40.853395582000076, -73.89450849099995)"
NYC DOE,K304,Kings,Public School,134,No,0,0,0,134,Yes,11/29/2016,134,0,No,Yes,11/09/2018,http://schools.nyc.gov/schools/K627,"K627,K140",280 HART STREET,Brooklyn,NY,11206,04/03/2019,04/03/2019,"(40.693654, -73.941278)","280 HART STREET
Brooklyn, NY 11206
(40.69405162000004, -73.94078584799996)"
NYC DOE,K975,Kings,Public School,4,No,0,0,0,4,Yes,12/15/2016,4,0,No,Yes,12/29/2016,http://schools.nyc.gov/schools/K236,K236,6302 AVENUE U,Brooklyn,NY,11234,04/03/2019,04/03/2019,"(40.615494, -73.912005)","6302 AVENUE U
Brooklyn, NY 11234
(40.61589736700006, -73.91303316799997)"
NYC DOE,K282,Kings,Public School,130,No,0,0,0,130,Yes,01/28/2017,130,0,No,Yes,07/20/2017,http://schools.nyc.gov/schools/K282,K282,180 6 AVENUE,Brooklyn,NY,11217,04/03/2019,04/03/2019,"(40.676649, -73.977983)","180 6 AVENUE
Brooklyn, NY 11217
(40.67641018200004, -73.97735574999996)"
NYC DOE,K106,Kings,Public School,50,No,0,0,0,50,Yes,12/02/2016,50,0,No,Yes,09/18/2018,http://schools.nyc.gov/schools/K106,K106,1328 PUTNAM AVENUE,Brooklyn,NY,11221,04/03/2019,04/03/2019,"(40.693318, -73.913378)","1328 PUTNAM AVENUE
Brooklyn, NY 11221
(40.693955061000054, -73.91296758699997)"
NYC DOE,K233,Kings,Public School,103,No,0,0,0,103,Yes,12/14/2016,103,0,No,Yes,05/24/2018,http://schools.nyc.gov/schools/K233,"K233,K736",9301 AVENUE B,Brooklyn,NY,11236,04/03/2019,04/03/2019,"(40.651642, -73.914282)","9301 AVENUE B
Brooklyn, NY 11236
(40.65120880000006, -73.91377571499999)"
NYC DOE,X941,Bronx,Public School,4,No,0,0,0,4,Yes,01/20/2017,4,0,No,Yes,02/04/2017,http://schools.nyc.gov/schools/X300,X300,2055 MAPES AVENUE,Bronx,NY,10460,04/03/2019,04/03/2019,"(40.846128, -73.886721)","2055 MAPES AVENUE
Bronx, NY 10460
(40.84574128100007, -73.88636922299997)"
NYC DOE,K045,Kings,Public School,233,No,0,0,0,233,Yes,01/28/2017,233,0,No,Yes,03/19/2019,http://schools.nyc.gov/schools/K045,K045,84 SCHAEFER STREET,Brooklyn,NY,11207,04/03/2019,04/03/2019,"(40.686424, -73.91043)","84 SCHAEFER STREET
Brooklyn, NY 11207
(40.68688844700006, -73.91054556499995)"
NYC DOE,X018,Bronx,Public School,137,No,0,0,0,137,Yes,02/14/2017,137,0,No,Yes,09/18/2018,http://schools.nyc.gov/schools/X018,X018,502 MORRIS AVENUE,Bronx,NY,10451,04/03/2019,04/03/2019,"(40.816369, -73.922697)","502 MORRIS AVENUE
Bronx, NY 10451
(40.81650216200006, -73.92319301299995)"
NYC DOE,M130,New York,Public School,178,No,0,0,0,178,Yes,01/04/2017,178,0,No,Yes,12/28/2018,http://schools.nyc.gov/schools/M130,M130,143 BAXTER STREET,Manhattan,NY,10013,04/03/2019,04/03/2019,"(40.71866, -73.998326)","143 BAXTER STREET
Manhattan, NY 10013
(40.71875762500008, -73.99851400599994)"
NYC DOE,X722,Bronx,Public School,106,No,0,0,0,106,Yes,01/18/2017,106,0,No,Yes,02/01/2017,http://schools.nyc.gov/schools/X721,X721,2697 WESTCHESTER AVENUE,Bronx,NY,10461,04/03/2019,04/03/2019,"(40.842725, -73.839114)","2697 WESTCHESTER AVENUE
Bronx, NY 10461
(40.842463536000025, -73.83867535699994)"
NYC DOE,X154,Bronx,Public School,115,No,0,0,0,115,Yes,01/07/2017,115,0,No,Yes,07/20/2017,http://schools.nyc.gov/schools/X154,"X154,X364",333 EAST 135 STREET,Bronx,NY,10454,04/03/2019,04/03/2019,"(40.808194, -73.925459)","333 EAST 135 STREET
Bronx, NY 10454
(40.80793809000005, -73.92593665499999)"
NYC DOE,X065,Bronx,Public School,88,No,0,0,0,88,Yes,01/12/2017,88,0,No,Yes,11/20/2018,http://schools.nyc.gov/schools/X065,"X065,X491",677 EAST 141 STREET,Bronx,NY,10454,04/03/2019,04/03/2019,"(40.807916, -73.912557)","677 EAST 141 STREET
Bronx, NY 10454
(40.80745816700005, -73.91296985499997)"
NYC DOE,X368,Bronx,Public School,183,No,0,0,0,183,Yes,03/09/2017,183,0,No,Yes,01/26/2017,http://schools.nyc.gov/schools/X368,"X368,X721",2975 TIBBETT AVENUE,Bronx,NY,10463,04/03/2019,04/03/2019,"(40.877935, -73.913694)","2975 TIBBETT AVENUE
Bronx, NY 10463
(40.88006806900006, -73.90923519299997)"
NYC DOE,K995,Kings,Public School,25,No,0,0,0,25,Yes,12/13/2016,25,0,No,Yes,01/23/2017,http://schools.nyc.gov/about-us/reports/water-safety,No School,5613-19 FLATLANDS AVE,Brooklyn,NY,11234,04/03/2019,04/03/2019,"(40.630513, -73.921727)","5613-19 FLATLANDS AVE
Brooklyn, NY 11234
(40.63027380400007, -73.92146521899997)"
NYC DOE,X108,Bronx,Public School,65,No,0,0,0,65,Yes,01/19/2017,65,0,No,Yes,01/30/2017,http://schools.nyc.gov/schools/X108,X108,1166 NEILL AVENUE,Bronx,NY,10461,04/03/2019,04/03/2019,"(40.8547, -73.8532)","1166 NEILL AVENUE
Bronx, NY 10461
(40.85481405200005, -73.85297837499996)"
NYC DOE,K111,Kings,Public School,103,No,0,0,0,103,Yes,12/10/2016,103,0,No,Yes,02/07/2019,http://schools.nyc.gov/schools/K347,"K347,K349,K358,K538",35 STARR STREET,Brooklyn,NY,11221,04/03/2019,04/03/2019,"(40.70081, -73.927938)","35 STARR STREET
Brooklyn, NY 11221
(40.70020974600004, -73.92798373399995)"
NYC DOE,K298,Kings,Public School,122,No,0,0,0,122,Yes,11/29/2016,122,0,No,Yes,08/23/2018,http://schools.nyc.gov/schools/k298,"K298,K363",85 WATKINS STREET,Brooklyn,NY,11212,04/03/2019,04/03/2019,"(40.671015, -73.907718)","85 WATKINS STREET
Brooklyn, NY 11212
(40.67082663200006, -73.90815403799996)"
